,Gender,Age,Stream,College_Name,Placement_Status,Salary,GPA,Years_of_Experience,College_Rank,Rank_Group
445,0,26,Information Technology,University of Colorado--Boulder,1,66000,3.7,2.0,264.0,200 - 300
446,1,24,Mechanical Engineering,University of North Carolina--Chapel Hill,0,0,3.6,1.0,132.0,100 - 200
447,0,23,Computer Science,University of Maryland--College Park,1,63000,3.7,2.0,169.0,100 - 200
448,1,26,Electrical Engineering,University of Rochester,1,62000,3.8,3.0,224.0,200 - 300
449,1,24,Information Technology,University of California--Santa Cruz,1,60000,3.7,2.0,332.0,300 - 400
450,0,25,Computer Science,University of Connecticut,1,61000,3.5,1.0,444.0,400 - 500
451,1,23,Electronics and Communication,University of California--Riverside,0,0,3.9,2.0,404.0,400 - 500
452,0,26,Information Technology,University of Delaware,1,65000,3.7,1.0,498.0,400 - 500
453,1,24,Mechanical Engineering,University of California--San Francisco,1,66000,3.8,3.0,132.0,100 - 200
455,1,26,Electronics and Communication,University of Virginia,1,64000,3.9,2.0,260.0,200 - 300
456,0,24,Computer Science,University of Michigan--Ann Arbor,1,67000,3.9,3.0,33.0,Top 100
457,1,23,Electrical Engineering,University of Pennsylvania,0,0,3.7,2.0,12.0,Top 100
458,0,26,Information Technology,University of Washington,1,67000,3.8,3.0,63.0,Top 100
459,1,24,Mechanical Engineering,University of California--Berkeley,1,66000,3.9,3.0,10.0,Top 100
460,0,23,Computer Science,University of Illinois--Urbana-Champaign,1,65000,3.8,3.0,64.0,Top 100
461,1,26,Electrical Engineering,University of Colorado--Boulder,1,66000,3.7,2.0,264.0,200 - 300
462,1,24,Information Technology,University of North Carolina--Chapel Hill,0,0,3.6,1.0,132.0,100 - 200
463,0,25,Computer Science,University of Maryland--College Park,1,63000,3.7,2.0,169.0,100 - 200
464,1,23,Electronics and Communication,University of Rochester,1,62000,3.8,3.0,224.0,200 - 300
465,0,26,Information Technology,University of California--Santa Cruz,1,60000,3.7,2.0,332.0,300 - 400
466,1,24,Mechanical Engineering,University of Connecticut,1,61000,3.5,1.0,444.0,400 - 500
467,0,23,Computer Science,University of California--Riverside,0,0,3.9,2.0,404.0,400 - 500
468,1,26,Electronics and Communication,University of Delaware,1,65000,3.7,1.0,498.0,400 - 500
469,0,24,Computer Science,University of California--San Francisco,1,66000,3.8,3.0,132.0,100 - 200
471,0,26,Information Technology,University of Virginia,1,64000,3.9,2.0,260.0,200 - 300
472,1,24,Mechanical Engineering,University of Michigan--Ann Arbor,1,67000,3.9,3.0,33.0,Top 100
473,0,23,Computer Science,University of Pennsylvania,0,0,3.7,2.0,12.0,Top 100
474,1,26,Electrical Engineering,University of Washington,1,67000,3.8,3.0,63.0,Top 100
475,1,24,Information Technology,University of California--Berkeley,1,66000,3.9,3.0,10.0,Top 100
544,1,24,Mechanical Engineering,University of California--Santa Cruz,1,60000,3.7,3.0,332.0,300 - 400
